,ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor
42,Aboukir1801,Egypt,31.3114241,30.0603342,3,Aboukir,1801,"['French', 'British', 'Aboukir', 'French', 'Alexandria']",French Revolutionary Wars,"United Kingdom, Ottoman Empire",France,"United Kingdom, Ottoman Empire",France,2,Land,,No,"Encyclopedia of Warfare, Amber Books, 2014, p510 ",,
43,,,,,NA,,,,,,,,,,,,,,,
44,Abrittus251,Bulgaria,43.5237175,26.5404685,3,Abrittus,251,['Philippopolis'],['Gothic War'],"Goths, Scythians",Rome,"Goths, Scythians",Rome,,Land,,No,,,
45,,,,,NA,,,,,,,,,,,,,,,
46,Abu Ageila1956,Egypt,30.83783,34.1133,4,Abu Ageila,1956,"['Arab', 'Israels', 'Egypt', 'Sinai', 'Egyptians', 'Israels']",['Sinai War'],Israel,Egypt,Israel,Egypt,1,Land,,No,,,
47,,,,,NA,,,,,,,,,,,,,,,
48,Abu Ageila1967,Egypt,30.83783,34.1133,4,Abu Ageila,1967,"['Arab', 'Israels', 'Egyptian', 'Egyptians']",Six Day War,Israel,Egypt,Israel,Egypt,4,Land,ABA1967,No,https://www.armyupress.army.mil/Portals/7/combat-studies-institute/csi-books/key-to-the-sinai.pdf; Shapefile taken from Page 10,,
49,,,,,NA,,,,,,,,,,,,,,,
50,Abu Hamed1897,Sudan,19.5253379,33.2798188,4,Abu Hamed,1897,"['British', 'British', 'Sudan', 'British', 'Sudanese']",British-Sudan Wars,United Kingdom,Sudanese Mahdists,United Kingdom,the Mahdiyya,1,Land,,No,"Clodfelter, Warfare and Armed Conflict, p203",,
51,,,,,NA,,,,,,,,,,,,,,,
52,Abu Klea1885,Sudan,16.9833533,33.2912452,4,Abu Klea,1885,"['British', 'British']",British-Sudanese Wars,United Kingdom,Sudanese Mahdists,United Kingdom,the Mahdiyya,2,Land,,No,"Encyclopedia of Warfare, Amber Books, London, 2014, p709 ",,
53,,,,,NA,,,,,,,,,,,,,,,
54,Abu Kru1885,Sudan,16.6399301,33.0806383,4,Abu Kru,1885,"['British', 'Dongola', 'British', 'Mahdists', 'British', 'Cairo']",British-Sudan Wars,United Kingdom,Sudanese Mahdists,United Kingdom,the Mahdiyya,,Land,,No,"For location, Spiers, the Victorian Soldier in Africa",,
55,,,,,NA,,,,,,,,,,,,,,,
56,Abu Tellul1918,Israel,31.9231824,35.3566345,4,Abu Tellul,1918,"['Jericho', 'Turkish', 'German', 'Australian', 'Germans']",['World War'],Australia,"Germany, Ottoman Empire",Australia,"Germany, Ottoman Empire",,Land,,No,,,
57,,,,,NA,,,,,,,,,,,,,,,
58,Abydos-200,Egypt,26.1837366,31.9227288,4,Abydos,-200,"['Macedon', 'Abydos', 'Asian', 'Rhodian']",['Macedonian War'],Macedonia,"Abydos, Pergamum, Rhodes",Macedonia,"Abydos, Pergamum, Rhodes",,Land,,No,,,
59,,,,,NA,,,,,,,,,,,,,,,
60,Abydos989,Egypt,26.1837366,31.9227288,4,Abydos,989,['Byzantine'],Byzantine Military Rebellions,Emperor Basil II,Bardas Phocas,Emperor Basil II,Bardas Phocas,,Land,,No,,,
61,,,,,NA,,,,,,,,,,,,,,,
62,Acajete1839,Mexico,19.1061301,-97.9522432,5,Acajete,1839,"['Mexican', 'Mexican', 'Jalapa', 'Tampico']",Mexican Federalist Wars,Mexico,Mexican Rebels,Mexico,Mexican Rebels,1,Land,,No,,,
63,,,,,NA,,,,,,,,,,,,,,,
64,Acambaro1858,Mexico,20.025105,-100.718241,5,Acambaro,1858,"['Mexico', 'Conservative', 'Acambaro']",['Mexican War'],Draw,,Mexican Liberals,Mexican Conservatives,1,Land,,No,,,
65,,,,,NA,,,,,,,,,,,,,,,
66,Acapulco1855,Mexico,16.8531086,-99.8236533,5,Acapulco,1855,"['Mexican', 'Acapulco', 'Mexico', 'Santa Anna', 'Mexican']",Mexican Liberal Rebellion,Mexican Liberals,Mexican Conservatives,Mexican Liberals,Mexican Conservatives,,Land,,No,,,
67,,,,,NA,,,,,,,,,,,,,,,
,Accra1824,Ghana,5.554828,-0.200086,"Harbottles, p10",Accra,1824,,First British-Ashanti War,Ashanti Kingdom,United Kingdom,,,2,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p10",,
,,,,,,,,,,,,,,,,,,,,
,Accra1825,Ghana,5.554828,-0.200086,"Harbottles, p10",Accra,1825,,First British Ashanti War,United Kingdom,Ashanti Kingdom,,,2,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p10",,
,,,,,,,,,,,,,,,,,,,,
68,Acerrae-90,Italy,40.9441091,14.371438,5,Acerrae,-90,['Rome'],Roman Social War,Rome,Samnites,Rome,Samnites,,Land,,No,,,
69,,,,,NA,,,,,,,,,,,,,,,
70,Acheribe1893,Benin,9.30769,2.315834,5,Acheribe,1893,"['Abomey', 'France', 'Behanzins']",3rd Franco-Dahomean War,France,Dahomey,France,Dahomey,,Land,,No,,,
71,,,,,NA,,,,,,,,,,,,,,,
72,Ackia1736,United States,34.2721578,-88.7379271,5,Ackia,1736,"['Louisiana', 'Chickasaw', 'French', 'Mississippi', 'French', 'Indian', 'New Orleans']",Chickasaw-French War,Chickasaws,France,Chickasaws,France,1,Land,,No,"Clodfelter, Warfare and Armed Conflict, p119",,
73,,,,,NA,,,,,,,,,,,,,,,
74,Aclea851,United Kingdom,51.4268318,0.3545853,5,Aclea,851,"['Britain', 'London', 'Thames']",Viking Raids on Britain,Wessex,Danish Vikings,Wessex,Danish Vikings,,Land,,No,,,
75,,,,,NA,,,,,,,,,,,,,,,
76,Acomo Pueblo1598,United States,34.8963361,-107.5910634,6,Acomo Pueblo,1598,[],Spanish Conquest of New Mexico,Spain,Pueblo Indians,Spain,Pueblo Indians,1,Land,,Battle followed by masssacre,,,
77,,,,,NA,,,,,,,,,,,,,,,
78,Acosta-Nu1869,Paraguay,-25.419142,-57.5445587,6,Acosta-Nu,1869,"['Piribebuy', 'Brazilian']",War of the Triple              Alliance,Brazil,Paraguay,Brazil,Paraguay,2,Land,,No,"Clodfelter, Warfare and Armed Conflict, p322",,
79,,,,,NA,,,,,,,,,,,,,,,
80,Acqui1799,Italy,44.6763846,8.4670285,6,Acqui,1799,"['French', 'French', 'Italy', 'Russian', 'French', 'Austrian', 'Russian', 'French']",French Revolutionary 2nd Coalition,"Austria, Russia",France,"Austria, Russia",France,3,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p510 - assuming numbers broadly similar to Novi Ligure three days later",,
81,,,,,NA,,,,,,,,,,,,,,,
82,Acragas-406,Italy,37.3094075,13.5859823,6,Acragas,-406,"['Carthaginian', 'Greek', 'Acragas', 'Spartans']",Carthaginian-Syracusan Wars,Carthage,Syracuse,Carthage,Syracuse,,Land,,No,,,
83,,,,,NA,,,,,,,,,,,,,,,
84,Acragas-262,Italy,37.3094075,13.5859823,6,Acragas,-262,"['Rome', 'Acragas', 'Sicily', 'Carthaginian', 'Rome', 'Romans']",['Punic War'],Rome,Carthage,Rome,Carthage,3,Land,,No,"A Global History of Pre Modern Warfare, Kaushik Roy, 2021, p111",,
85,,,,,NA,,,,,,,,,,,,,,,
86,Acre1104,Israel,32.933052,35.082678,6,Acre,1104,"['Crusader-Muslim', 'Jerusalem', 'Genoese', 'Genoese', 'Bena Zahr']",Crusader-Muslim Wars,"Genoa, Kingdom of Jerusalem",Fatimid Caliphate,"Genoa, Kingdom of Jerusalem",Fatimid Caliphate,,Land,,No,,,
87,,,,,NA,,,,,,,,,,,,,,,
88,Acre1189-1191,Israel,32.933052,35.082678,6,Acre,1189,"['Haifa', 'Kurdish-Muslim', 'England', 'Muslim']",Third Crusade,England,Ayyubid Caliphate,England,Ayyubid Caliphate,3,Land,,Battle followed by massacre,,,
89,,,,,NA,,,,,,,,,,,,,,,
90,Acre1291,Israel,32.933052,35.082678,6,Acre,1291,"['Muslim', 'Christian']",Later Crusader-Muslim Wars,Mamlukes,"Kingdom of Jerusalem, Knights Hospitallier, Knights Templar, Teutonic Knights",Mamlukes,"Kingdom of Jerusalem, Knights Hospitallier, Knights Templar, Teutonic Knights",3,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p225",,
91,,,,,NA,,,,,,,,,,,,,,,
92,Acre1799,Israel,32.933052,35.082678,7,Acre,1799,"['French', 'Egypt', 'Egypt', 'Syria', 'Haifa', 'British', 'Egypt']",French Revolutionary Wars,"Pasha of Acre, United Kingdom",France,"Pasha of Acre, United Kingdom",France,2,Land,,No,"Encyclopedia of Warfare, Amber Books, p508",,
93,,,,,NA,,,,,,,,,,,,,,,
94,Acre1840,Israel,32.933052,35.082678,7,Acre,1840,"['Turko', 'Egyptian', 'Turkey', 'Nezib', 'Syria', 'Turkish', 'European', 'Beirut', 'British', 'Turkish']",2nd Turko-Egyptian War,"United Kingdom, Austria",Egypt,"United Kingdom, Austria",Egypt,2,Land and Sea,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p594. Source states eight ships of the line involved. Ship of the line crew 600-800 approx. https://www.britannica.com/technology/ship-of-the-line",,
95,,,,,NA,,,,,,,,,,,,,,,
