,ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor
563,,,,,NA,,,,,,,,,,,,,,,
564,Almenar1082,Spain,41.7970523,0.5680948,37,Almenar,1082,"['Christian', 'Spain', 'Spain', 'Muslim', 'Aragon', 'Barcelona', 'Spanish', 'Bivar']",Early Christian Reconquest of Spain,Saragossa,"Lerida, Aragon, Barcelona",,,,Land,,No,,,
565,,,,,NA,,,,,,,,,,,,,,,
566,Almenar1710,Spain,41.7970523,0.5680948,37,Almenar,1710,"['Austria', 'Spain', 'Austrian']",War of the Spanish Succession,"Austria, United Kingdom","France, Spain",,,3,Land,,No,"The Field and the Forge, Landers, p388",,
567,,,,,NA,,,,,,,,,,,,,,,
568,Almeria1309,Spain,36.834047,-2.4637136,38,Almeria,1309,"['Christian', 'Spain', 'Aragon', 'Almeria', 'Spain', 'Christians']",Later Christian Reconquest of Spain,Granada,Aragon,,,,Land,,No,,,
569,,,,,NA,,,,,,,,,,,,,,,
570,Almeria1489,Spain,36.834047,-2.4637136,38,Almeria,1489,"['Christian', 'Spain', 'Almeria', 'Spain', 'Muslim']",Later Christian Reconquest of Spain,Castille,Granada,,,,Land,,No,,,
571,,,,,NA,,,,,,,,,,,,,,,
572,Almodovar del Rio1091,Spain,40.3862211,-3.6054532,38,Almodovar del Rio,1091,"['Christian', 'Spain', 'Zallaka', 'Spain', 'North Africa', 'Seville', 'Almodovar del Rio', 'Muslim']",Early Christian Reconquest of Spain,Almoravids,Leon and Castille,,,,Land,,No,,,
573,,,,,NA,,,,,,,,,,,,,,,
574,Almolonga1823,Guatemala,14.8143789,-91.4942426,38,Almolonga,1823,"['Mexican', 'Spanish', 'Mexico', 'Republicans']",Mexican Civil Wars,Mexican Republicans,Mexican Imperialists,,,,Land,,No,,,
575,,,,,NA,,,,,,,,,,,,,,,
576,Almonacid1809,Spain,39.753623,-3.8534422,38,Almonacid,1809,"['Napoleonic', 'Portugal', 'Spain', 'French', 'Spanish', 'Toledo', 'Venegas']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,3,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p536",,
577,,,,,NA,,,,,,,,,,,,,,,
578,Almorah1815,India,29.5892407,79.646666,38,Almorah,1815,"['British', 'Katalgarh', 'Britain', 'Kumaun', 'Gurkha', 'Sitoli', 'Nepal']",British Gurkha Wars,United Kingdom,Gurkhas,,,,Land,,No,,,
579,,,,,NA,,,,,,,,,,,,,,,
580,Al-Mukhtara883,Iraq,30.4399196,48.1220583,38,Al-Mukhtara,883,"['Iraq', 'Basra']",Zandj Slave Rebellion,Muslim Caliphate,Black Slaves,,,,Land,,Battle followed by massacre,,,
581,,,,,NA,,,,,,,,,,,,,,,
582,Alnwick1093,United Kingdom,55.412744,-1.706299,38,Alnwick,1093,"['Anglo', 'Scotland', 'England']",Anglo-Scottish Territorial Wars,England,Scotland,,,,Land,,No,,,
583,,,,,NA,,,,,,,,,,,,,,,
584,Alnwick1174,United Kingdom,55.412744,-1.706299,39,Alnwick,1174,"['Scotland', 'Northumberland', 'Royalist', 'Scotland']",Anglo-Norman Rebellion,England,Scotland,,,,Land,,No,,,
585,,,,,NA,,,,,,,,,,,,,,,
586,Alnwick1462,United Kingdom,55.412744,-1.706299,39,Alnwick,1462,"['French', 'Scotland', 'Yorkists']",Wars of the Roses,"Lancastrians, France, Scotland",Yorkists,,,,Land,,No,,,
587,,,,,NA,,,,,,,,,,,,,,,
588,Alost1128,Belgium,50.9378101,4.0409517,39,Alost,1128,"['Flemish', 'Brussels', 'Clito']",War of Flemish Succession,William Clito,Theodric of Alsace,,,,Land,,No,,,
589,,,,,NA,,,,,,,,,,,,,,,
590,Alpens1873,Spain,42.1189496,2.1014619,39,Alpens,1873,"['Berga', 'Carlists']",['Carlist War'],Carlists,Spanish Government,,,,Land,,No,,,
591,,,,,NA,,,,,,,,,,,,,,,
592,Alporchones1452,Spain,37.6741557,-1.702222,39,Alporchones,1452,"['Christian', 'Spain', 'Spain', 'Lorca', 'Alporchones']",Later Christian Reconquest of Spain,Castille,Granada,,,,Land,,No,,,
593,,,,,NA,,,,,,,,,,,,,,,
594,Alresford1644,United Kingdom,51.0856236,-1.1655575,39,Alresford,1644,"['British', 'Alresford', 'Parliamentarians', 'Hampshire', 'Wiltshire']",British Civil Wars,Parliamentarians,Royalists,,,2,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p392",,
595,,,,,NA,,,,,,,,,,,,,,,
596,Alsace1944,France,48.3181795,7.4416241,39,Alsace,1944,"['Alsace', 'Strasbourg', 'American', 'Strasbourg']",['World War II'],United States,Germany,,,4,Land,ALLOR44,No,"Clodfelter, Warfare and Armed Conflict, p481; For shapefile World War II Map by Map, p190",1,
597,,,,,NA,,,,,,,,,,,,,,,
,Al Safra1812,Saudi Arabia,24.088825,39.0603544,"Showalter, p480",Al Safra,1812,,Ottoman Saudi War 1811,House of Saud,Ottoman Empire,,,2,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p480",,
,,,,,,,,,,,,,,,,,,,,
598,Alsasua1834,Spain,42.8956348,-2.1708139,39,Alsasua,1834,"['Spanish', 'Vitoria']",1st Carlist War,Spain,Carlists,,,,Land,,No,,,
599,,,,,NA,,,,,,,,,,,,,,,
600,Alsen1864,Denmark,54.9680107,9.7150676,40,Alsen,1864,"['Danish', 'Alsen', 'Prussian']",2nd Schleswig Holstein War,Prussia,Denmark,,,3,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p697",,
601,,,,,NA,,,,,,,,,,,,,,,
602,Alta1019,Ukraine,50.1430119,31.3596998,40,Alta,1019,"['Russian', 'Polish', 'Sviatopolk']",Russian Dynastic Wars,Prince Yaroslav,Prince Sviatopolk,,,,Land,,No,,,
603,,,,,NA,,,,,,,,,,,,,,,
604,Alta1068,Ukraine,50.1430119,31.3596998,40,Alta,1068,"['Russian', 'Russian', 'Yaroslav', 'Russians', 'Kievs', 'Poland']",Russian Dynastic Wars,Pechenegs,Kiev,,,,Land,,No,,,
605,,,,,NA,,,,,,,,,,,,,,,
606,Altafulla1812,Spain,41.1469855,1.3806902,40,Altafulla,1812,"['Napoleonic', 'French', 'Spanish', 'Tarragona', 'Spain', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,Spain,,,,Land,,No,,,
607,,,,,NA,,,,,,,,,,,,,,,
608,Altenberg1813,Germany,50.7639531,13.7578889,40,Altenberg,1813,"['Napoleonic', 'Prussian', 'French', 'Pirna', 'Austrian', 'French']",['(War of Liberation'],"Prussia, Austria, Russia",France,,,,Land,,No,,,
609,,,,,NA,,,,,,,,,,,,,,,
610,Alten Fjord1943,Norway,59.2713081,15.211299,40,Alten Fjord,1943,"['Tirpitz', 'British']","['World War II', '(War at Sea']",United Kingdom,Germany,,,1,Sea,,No,"Clodfelter, Warfare and Armed Conflict, p486",1,
611,,,,,NA,,,,,,,,,,,,,,,
612,Altenkirchen (1st)1796,Germany,50.687222,7.645556,40,Altenkirchen (1st),1796,"['French', 'Germany', 'French', 'Altenkirchen', 'Austrians']",French Revolutionary Wars (1st Coalition),France,Wurtemburg,,,2,Land,,No,"The Field and the Forge, Landers, p390",,
613,,,,,NA,,,,,,,,,,,,,,,
614,Altenkirchen (2nd)1796,Germany,50.687222,7.645556,41,Altenkirchen (2nd),1796,"['French', 'French', 'Germany', 'Austria', 'Aschaffenburg']",French Revolutionary Wars (1st Coalition),Austria,France,,,,Land,,No,,,
615,,,,,NA,,,,,,,,,,,,,,,
616,Altenkirchen1797,Germany,50.687222,7.645556,41,Altenkirchen,1797,"['French', 'French', 'Neuwied', 'Herborn']",French Revolutionary Wars (1st Coalition),France,Austria,,,,Land,,No,,,
617,,,,,NA,,,,,,,,,,,,,,,
618,Alte Veste1632,Germany,48.6651396,10.885377,41,Alte Veste,1632,"['Bavaria', 'Sweden', 'Nuremberg', 'Swedes']",['Swedish War'],Holy Roman Empire,Sweden,,,3,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p379",,
619,,,,,NA,,,,,,,,,,,,,,,
620,Altimarlach1680,United Kingdom,53.456,-3.147,41,Altimarlach,1680,"['Scottish', 'Glenorchy', 'Keiss', 'Scotland', 'Altimarlach']",Scottish Clan Wars,Sir John Campbell,George Sinclair,,,,Land,,No,,,
621,,,,,NA,,,,,,,,,,,,,,,
622,Altmark Incident1940,Norway,58.3181142,6.3476845,41,Altmark Incident,1940,"['Norway', 'British', 'German', 'Norway']",['World War II'],United Kingdom,Germany,,,1,Sea,,No,,1,1
623,,,,,NA,,,,,,,,,,,,,,,
624,Alto de Leon1936,Spain,40.7114043,-4.1515326,41,Alto de Leon,1936,"['Spanish', 'Nationalist', 'Madrid', 'Republican', 'Madrid', 'Nationalists']",['Civil War'],Spanish Nationalists,Spanish Republicans,,,,Land,,No,,,
625,,,,,NA,,,,,,,,,,,,,,,
626,Alto de Quilo1814,Chile,-32.5527589,-71.0770881,41,Alto de Quilo,1814,[],['Chilean War'],Chilean Rebels,Spain,,,,Land,,No,,,
627,,,,,NA,,,,,,,,,,,,,,,
628,Alton1643,United Kingdom,51.158222,-0.964369,41,Alton,1643,"['Alton', 'British', 'Alton', 'Arundel']",British Civil Wars,Parliamentarians,Royalists,,,1,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p392",,
629,,,,,NA,,,,,,,,,,,,,,,
630,Altona1714,Germany,53.57916,9.8745558,42,Altona,1714,"['Germany', 'Swedish', 'Danish', 'Saxon', 'Altona', 'Hamburg', 'Russian', 'Russia']",['Northern War                                          '],Russia,Sweden,,,,Land,,No,,,
631,,,,,NA,,,,,,,,,,,,,,,
632,Altopascio1325,Italy,43.8156249,10.6530736,42,Altopascio,1325,"['Montecatini', 'Ghibellines', 'Castracanis', 'Luccan']",Guelf-Ghibbeline Wars,Ghibellines,Guelfs,,,,Land,,No,,,
633,,,,,NA,,,,,,,,,,,,,,,
634,Alvsborg1563,Sweden,57.6730707,11.857915,42,Alvsborg,1563,"['Denmark', 'Sweden', 'German']",['Nordic Seven Years               War'],Denmark,Sweden,,,,Land,,No,,,
635,,,,,NA,,,,,,,,,,,,,,,
636,Alvsborg1612,Sweden,57.6730707,11.857915,42,Alvsborg,1612,"['Sweden', 'Denmark', 'Kalmar', 'Swedish', 'Danish', 'Vaxholm']",War of Kalmar,Denmark,Sweden,,,,Land,,No,,,
637,,,,,NA,,,,,,,,,,,,,,,
,Amadiye1973,,32.90485,35.807248,"Showalter, p894",Amadiye,1973,,Yom Kippur War,Israel,Syria,,,2,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p894; Israeli Brigade vs Syrian Division",,
,,,,,,,,,,,,,,,,,,,,
638,Amakusa1638,Japan,32.4585041,130.1933908,42,Amakusa,1638,"['Japanese', 'Christian', 'Rising', 'Japanese', 'Christians', 'Amakusa', 'Japan']",Japanese Christian Uprising,Shogunate of Japan,Japanese Christian Rebels,,,4,Land,,Battle followed by massacre,"Harbottle's Dictionary of Battles, George Bruce, 1979, p19",,
639,,,,,NA,,,,,,,,,,,,,,,
640,Amalinda1818,South Africa,-32.9918907,27.8692376,42,Amalinda,1818,"['East London', 'Ngqikas', 'British']",Xhosa Civil War,Ngqika,Ndlambe,,,,Land,,No,,,
641,,,,,NA,,,,,,,,,,,,,,,
642,Amara1915,Iraq,31.8496076,47.1459597,42,Amara,1915,"['New British', 'Turks', 'Shaiba', 'Basra', 'Amara', 'Turks', 'Ahwaz']",['World War I'],United Kingdom,Ottoman Empire,,,1,Land,,No,"Clodfelter, Warfare and Armed Conflict, p413",1,
643,,,,,NA,,,,,,,,,,,,,,,
644,Amara1983,Iraq,31.8496076,47.1459597,42,Amara,1983,"['Basra', 'Musian']",['Iraq-Iran War       '],Iraq,Iran,,,,Land,,No,,,
645,,,,,NA,,,,,,,,,,,,,,,
646,Amarante1809,Portugal,41.2696357,-8.0826488,43,Amarante,1809,"['Napoleonic', 'French', 'French', 'Amarante', 'British', 'Portugal']",Napoleonic Wars (Peninsula Campaign),France,Portugal,,,,Land,,No,,,
647,,,,,NA,,,,,,,,,,,,,,,
648,Amba Alagi1895,Ethiopia,12.9833538,39.5412452,43,Amba Alagi,1895,"['Italo', 'Ethiopian', 'Italians', 'Makale', 'Italian', 'Adowa']",1st Italo-Ethiopian War,Abyssinia,Italy,,,3,Land,,No,"Clodfelter, Warfare and Armed Conflict, p202",,
649,,,,,NA,,,,,,,,,,,,,,,
650,Amba Alagi1941,Ethiopia,12.9833538,39.5412452,43,Amba Alagi,1941,"['Northern Africa', 'Italian', 'Ethiopia', 'British', 'Addis Ababa', 'Italians']",['World War II'],United Kingdom,Italy,,,3,Land,,No,"Clodfelter, Warfare and Armed Conflict, p441",1,
651,,,,,NA,,,,,,,,,,,,,,,
652,Amba Aradam1936,Ethiopia,13.331879,39.513897,43,Amba Aradam,1936,['Makale'],['Ethiopian War'],Italy,Ethiopia,,,3,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p797",,
653,,,,,NA,,,,,,,,,,,,,,,
654,Ambela1863,Pakistan,34.401272,72.4790696,43,Ambela,1863,"['Pathan', 'Pathan', 'Pakistan', 'the   Pathans']",Pathan Rising,United Kingdom,Pathan Rebels,,,2,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p663",,
655,,,,,NA,,,,,,,,,,,,,,,
656,Amberg1745,Germany,49.4403198,11.8633445,43,Amberg,1745,"['Austria', 'Amberg', 'Nuremberg', 'Austrian', 'France', 'Prussia', 'Saxony', 'England', 'Holland']",['y War of the Austrian   Succession'],Austria,Bavaria,,,,Land,,No,,,
657,,,,,NA,,,,,,,,,,,,,,,
658,Amberg1796,Germany,49.4403198,11.8633445,43,Amberg,1796,"['French', 'French', 'Germany', 'Austria', 'the   Danube', 'French']",French Revolutionary Wars (1st Coalition),Austria,France,,,3,Land,,No,"The Field and the Forge, Landers, p390",,
659,,,,,NA,,,,,,,,,,,,,,,
660,Ambleve716,Belgium,50.4317272,5.73549,44,Ambleve,716,"['Frankish', 'Pepin', 'Austrasia', 'Neustrian', 'Liege', 'Frankish', 'Vincy']",Rise of Charles Martel,Franks,Rebel Neustrian Nobles,,,,Land,,No,,,
661,,,,,NA,,,,,,,,,,,,,,,
662,Ambon1605,Indonesia,-3.6255302,128.1054495,44,Ambon,1605,"['Dutch', 'Dutch', 'Indonesia', 'Portuguese', 'Dutch', 'British', 'Holland']",Dutch-Portuguese Colonial Wars,Netherlands,Portugal,,,,Land and Sea,,No,,,
663,,,,,NA,,,,,,,,,,,,,,,
664,Ambon1796,Indonesia,-3.6255302,128.1054495,44,Ambon,1796,"['French', 'Dutch', 'British', 'Ambon', 'Banda', 'Holland', 'Dutch']",French Revolutionary Wars (1st Coalition),United Kingdom,Netherlands,,,,Land and Sea,,No,,,
665,,,,,NA,,,,,,,,,,,,,,,
,Ambos Nogales1918,Mexico,31.314631,-110.94683,"Showalter, p752",Ambos Nogales,1918,,Mexican Revolution,United States,Mexico,,,1,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p752",,1
,,,,,,,,,,,,,,,,,,,,
666,Ambuila1665,Angola,-7.4833115,14.2579122,44,Ambuila,1665,"['Portuguese', 'West Africa', 'Angola', 'Portuguese', 'Portuguese', 'Angola', 'African']",Portuguese Colonial Wars in Africa,Portugal,Kongo,,,3,Land,,No,"Warfare in Atlantic Africa: 1500-1800, John K Thornton, p121-122",,
667,,,,,NA,,,,,,,,,,,,,,,
668,Ambur1749,India,12.7903613,78.7166084,44,Ambur,1749,"['India', 'French', 'Vellore', 'French', 'British']",['Carnatic War'],Hyderabad,"Arcot, France",,,3,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p20. The Nawab of Arcot's Army was 20,000 strong. Other side consisting of three allies presumed larger",1,
669,,,,,NA,,,,,,,,,,,,,,,
670,Ambur1767,India,12.7903613,78.7166084,44,Ambur,1767,"['India', 'Vellore']",1st British-Mysore War,United Kingdom,Mysore,,,,Land,,No,,,
671,,,,,NA,,,,,,,,,,,,,,,
672,Ameixial1663,Portugal,37.3640365,-7.9629289,44,Ameixial,1663,"['Spanish-Portuguese', 'Portugal', 'Spain']",Spanish-Portuguese Wars,"England, Portugal",Spain,,,2,Land,,No,"Clodfelter, Warfare and Armed Conflict, p44",,
673,,,,,NA,,,,,,,,,,,,,,,
674,Amelia Springs1865,United States,37.3460138,-78.0162967,45,Amelia Springs,1865,"['Petersburg', 'Virginia', 'Amelia Springs', 'Jetersville']",American Civil Wars,Draw,,United States,Confederate States of America,,Land,,No,,,
675,,,,,NA,,,,,,,,,,,,,,,
676,Amgala1976,Western Sahara,25.8185886,-11.4598924,45,Amgala,1976,"['Western', 'Spain', 'Morocco', 'Mauritania', 'Amgala', 'Moroccan', 'Algerians', 'Algeria']",Western Sahara Wars,Morocco,"Algeria, Saharan Rebels",,,,Land,,No,,,
677,,,,,NA,,,,,,,,,,,,,,,
678,Amida359,Turkey,37.9249733,40.2109826,45,Amida,359,"['Persian', 'Amida', 'Roman', 'Persian', 'Roman']",Later Persian-Roman Wars,Sassanid Empire,Rome,,,,Land,,Battle followed by massacre,,,
679,,,,,NA,,,,,,,,,,,,,,,
680,Amida502-503,Turkey,37.9249733,40.2109826,45,Amida,502,"['Persian', 'Roman', 'Arabs', 'Persian', 'Amida', 'Romans']",Byzantine-Persian Wars,Sassanid Empire,Byzantium,,,,Land,,Battle followed by massacre,,,
681,,,,,NA,,,,,,,,,,,,,,,
682,Amida973,Turkey,37.9249733,40.2109826,45,Amida,973,"['Byzantine-Muslim', 'Amida', 'Diyabakir', 'Arab', 'Mosul', 'Previous Byzantine']",Later Byzantine-Muslim Wars,Muslims,Byzantium,,,,Land,,No,,,
683,,,,,NA,,,,,,,,,,,,,,,
684,Amiens1597,France,49.894067,2.295753,45,Amiens,1597,"['Spanish', 'France', 'Netherlands', 'Calais', 'French', 'France', 'Spanish']",['French War'],France,Spain,,,,Land,,No,,,
685,,,,,NA,,,,,,,,,,,,,,,
686,Amiens1870,France,49.894067,2.295753,45,Amiens,1870,"['Prussian', 'Paris', 'Rheims', 'French', 'Amiens', 'Arras']",Franco-Prussian War,Prussia,France,,,,Land,,No,,,
687,,,,,NA,,,,,,,,,,,,,,,
688,Amiens1918,France,49.894067,2.295753,45,Amiens,1918,[],World War I,United Kingdom,Germany,,,4,Land,AMS1918,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p21. Six British, three Canadian, two Australian and one American infantry division at 17,000 men each plus three British cavalry divisions at 9,000 men approx (Clodfelter, p387). German force smaller",1,
689,,,,,NA,,,,,,,,,,,,,,,
690,Amjhera1728,India,22.5597933,75.12243,46,Amjhera,1728,"['India', 'Malwa']",Later Mughal-Maratha Wars,Marathas,Mughals,,,,Land,,No,,,
691,,,,,NA,,,,,,,,,,,,,,,
692,Amman1918,Jordan,31.9453666,35.9283716,46,Amman,1918,"['British', 'Jerusalem', 'Megiddo', 'New Zealand', 'Jordan', 'Arab', 'Amman']",['World War I'],"United Kingdom, New Zealand, Australia",Turkey,,,,Land,,No,,,
693,,,,,NA,,,,,,,,,,,,,,,
694,Amoafo1874,Ghana,6.549883,-1.722477,46,Amoafo,1874,"['British', 'British', 'Ghana', 'African', 'Ashanti', 'Kumasi']",2nd British Ashanti War,United Kingdom,Ashanti Kingdom,,,2,Land,,No,"Britain at War with the Ashanti, Stephen Manning, p177",,
695,,,,,NA,,,,,,,,,,,,,,,
696,Amoneburg1762,Germany,50.797725,8.9219942,46,Amoneburg,1762,"['Prussian', 'Duke Ferdinand', 'French', 'Hesse']",Seven Years War,France,"Prussia, United Kingdom",,,,Land,,No,,,
697,,,,,NA,,,,,,,,,,,,,,,
698,Amorgos-322,Greece,36.8400184,25.8876641,46,Amorgos,-322,"['Athens', 'Greek', 'Greek', 'Crannon', 'Macedonian', 'Athenian', 'Athens']",['Lamian War'],Macedonia,Athens,,,,Sea,,No,,,
699,,,,,NA,,,,,,,,,,,,,,,
700,Amorha1858,India,26.7634654,82.394,46,Amorha,1858,['Indian'],Indian Mutiny,United Kingdom,Indian Rebels,,,,Land,,No,,,
701,,,,,NA,,,,,,,,,,,,,,,
702,Amorium669,Turkey,39.0198163,31.2961518,46,Amorium,669,"['Muslim', 'Emperor Constans', 'Ankara', 'Byzantine', 'Arabs', 'Arab']",Early Byzantine-Muslim Wars,Byzantium,Muslims,,,,Land,,No,,,
703,,,,,NA,,,,,,,,,,,,,,,
704,Amorium838,Turkey,39.0198163,31.2961518,46,Amorium,838,"['Byzantine-Muslim', 'Anatolia', 'Amorium', 'Hissar', 'Sakarya']",Byzantine Muslim Wars,Abbasid Caliphate,Byzantium,,,3,Land,,Battle followed by massacre,"Encyclopedia of Warfare, Showalter, 2014, p186",,
705,,,,,NA,,,,,,,,,,,,,,,
,Ampfing1800,Germany,48.2599815,12.35315,"Clodfelter, p108",Ampfing,1800,,French Revolutionary Wars (2nd Coalition),Habsburg Empire,France,,,3,Land,,No,"Clodfelter, Warfare and Armed Conflict, p108",,
,,,,,,,,,,,,,,,,,,,,
706,Amphipolis-422,Greece,40.8236803,23.8470507,47,Amphipolis,-422,"['Spartan', 'Athens', 'Macedonia', 'Amfipolis', 'Athenian']",['Peloponnesian War                                     '],Sparta,Athens,,,1,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p21",,
707,,,,,NA,,,,,,,,,,,,,,,
708,Amposta1813,Spain,40.7067997,0.5801695,47,Amposta,1813,"['Napoleonic', 'Sicilian', 'Catalonia', 'French', 'Amposta', 'Spanish']",Napoleonic Wars (Peninsula Campaign),France,"United Kingdom, Sicily",,,,Land,,No,,,
709,,,,,NA,,,,,,,,,,,,,,,
710,Amritsar1634,India,31.6339793,74.8722642,47,Amritsar,1634,"['Amritsar', 'Mukhlis']",Early Mughal-Sikh Wars,Sikh Punjab,Mughal Empire,,,,Land,,No,,,
711,,,,,NA,,,,,,,,,,,,,,,
712,Amritsar1797,India,31.6339793,74.8722642,47,Amritsar,1797,"['Kabul', 'Punjab', 'Lahore', 'Amritsar', 'Afghans', 'Sikhs', 'Kabul', 'India', 'Gujrat']",Punjab Campaigns of Shah Zaman,Punjab,Afghanistan,,,,Land,,No,,,
713,,,,,NA,,,,,,,,,,,,,,,
714,Amritsar1798,India,31.6339793,74.8722642,47,Amritsar,1798,"['Afghan', 'Kabul', 'Punjab', 'Sikh', 'Lahore']",Punjab Campaigns of Shah Zaman,Punjab ,Afghanistan,,,2,Land,,No,,,
715,,,,,NA,,,,,,,,,,,,,,,
716,Amritsar1919,India,31.6339793,74.8722642,47,Amritsar,1919,"['Gurkha', 'Kirpans', 'Amritsar', 'Lahore', 'Indian', 'British']",Punjab Disturbances,United Kingdom,Indian protestors,,,1,Land,,Yes,,,
717,,,,,NA,,,,,,,,,,,,,,,
718,Amroha1305,India,28.9043537,78.4673426,47,Amroha,1305,"['Delhi', 'Mongols', 'India', 'Delhi', 'Moradabad', 'Sultan']",Mongol Invasion of India,Sultanate of Delhi,Mongols,,,3,Land,,No,"Warfare in Pre British India, Kaushik Roy, 2015, p223",,
719,,,,,NA,,,,,,,,,,,,,,,
720,Amstetten1805,Austria,48.12502,14.86934,48,Amstetten,1805,"['Napoleonic', 'Vienna', 'Austrian', 'Russian', 'Vienna']",Napoleonic Wars (3rd Coalition),France,Russia,,,2,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p514",,
721,,,,,NA,,,,,,,,,,,,,,,
722,An-589,China,36.1589906,116.9961454,48,An,-589,['Long'],Wars of China's Spring and Autumn Era,"Wei, Lu, Jin",Chi,,,2,Land,,No,"Imperial Chinese Military History, Marvin C Whiting, p42. For location - An Historical Atlas of China, Albert Herrmann, Aldine, Chicago, 1935, p53. I am equating T'an in Chi with An",,
723,,,,,NA,,,,,,,,,,,,,,,
724,Anagni1381,Italy,41.7443747,13.1378489,48,Anagni,1381,"['Queen Joanna', 'Rome', 'Joannas', 'Naples']",Neapolitan-Papal War,Charles of Durazzo,Otto of Brunswick,,,,Land,,No,,,
725,,,,,NA,,,,,,,,,,,,,,,
726,Anahuac1832,United States,29.7730001,-94.6826961,48,Anahuac,1832,"['Texan', 'Texans', 'Mexican', 'Nacogdoches', 'Velasco']",Texas War of Independence,Texan Rebels,Mexico,,,1,Land,,No,,1,1
727,,,,,NA,,,,,,,,,,,,,,,
728,Anahuac1835,United States,29.7730001,-94.6826961,48,Anahuac,1835,"['Texan', 'Mexican', 'Texan', 'Mexican', 'San Antonio']",Texas War of Independence,Texan Rebles,Mexico,,,1,Land,,No,,1,1
729,,,,,NA,,,,,,,,,,,,,,,
730,Analatos1827,Greece,37.9287428,23.6671264,48,Analatos,1827,"['Acropolis', 'Greek', 'Analatos', 'Turkish']",['Greek War'],Ottoman Empire,Greek Rebels,,,,Land and Sea,,Battle followed by massacre,,,
731,,,,,NA,,,,,,,,,,,,,,,
732,Anandpur1700,India,31.2344015,76.5054652,48,Anandpur,1700,"['Sikhs', 'Punjab', 'Anandpur', 'Ludhi-']",Mughal-Sikh Wars,Punjabi Sikhs,"Mughal Empire, Hill Tribes",,,2,Land,,No,,,
733,,,,,NA,,,,,,,,,,,,,,,
734,Anandpur1701,India,31.2344015,76.5054652,48,Anandpur,1701,"['Punjab', 'Anandpur', 'Ludhiana']",Mughal-Sikh Wars,Sikh Punjab,"Northern Punjabi Hill Tribes, Gujar Tribes",,,,Land,,No,,,
735,,,,,NA,,,,,,,,,,,,,,,
736,Anandpur (1st)1704,India,31.2344015,76.5054652,49,Anandpur (1st),1704,"['Punjab', 'Sikh', 'Anandpur']",Mughal-Sikh Wars,Punjabi Sikhs,Mughal Empire,,,,Land,,No,,,
737,,,,,NA,,,,,,,,,,,,,,,
738,Anandpur (2nd)1704,India,31.2344015,76.5054652,49,Anandpur (2nd),1704,"['Punjab at Basoli', 'Anandpur', 'Anandpur', 'Ludhiana', 'Sikhs']",Mughal-Sikh Wars,Mughal Empire,Punjabi Sikhs,,,,Land,,Battle followed by massacre,,,
739,,,,,NA,,,,,,,,,,,,,,,
,Anapa1789,Russia,43.3981982,40.1093169,,Anapa,1789,,Catherine the Great's 2nd Turkish War,Russia,"Ottoman Empire, Chechen Rebels",,,3,Land,,No,"Clodfelter, Warfare and Armed Conflict, p94-95. A regiment is assumed to be 2,000, a battalion and squadron 1,000",1,
,,,,,,,,,,,,,,,,,,,,
740,Anaquito1546,Ecuador,-0.166667,-78.5021887,49,Anaquito,1546,"['Spanish', 'Peru', 'Spanish', 'Peru', 'Quito', 'Ecuador', 'Peru']",['Civil War'],Rebels under Pizzaro,Spain,,,,Land,,No,,,
741,,,,,NA,,,,,,,,,,,,,,,
742,Anas-79,Spain,36.9079293,-6.8627691,49,Anas,-79,"['Roman', 'Rome', 'Spain', 'Nearer Spain']",['Sertorian War'],Rebel General Quintus Sertorius,Rome,,,,Land,,No,,,
743,,,,,NA,,,,,,,,,,,,,,,
744,Anatoliko1823,Greece,40.6621966,22.7134374,49,Anatoliko,1823,"['Missolonghi', 'English']",['Greek War'],Turkey,Greece,,,,Land,,No,,,
745,,,,,NA,,,,,,,,,,,,,,,
746,Anazarbus1130,Turkey,37.2509743,35.8951922,49,Anazarbus,1130,"['Crusader-Muslim', 'Cilicia', 'Anazarbus', 'the Roupenian Armenian']",Crusader-Muslim Wars,"Armenia, Turkey",Crusaders,,,,Land,,No,,,
747,,,,,NA,,,,,,,,,,,,,,,
